MBCGO	JI
PI3 kinase AKT signaling pathway::protein kinase B signaling	0.07142857142857142
JAK-STAT signaling pathway::JAK-STAT cascade	0.22916666666666666
TIRAP signaling pathway::TIRAP-dependent toll-like receptor signaling pathway	0.0
NFkB signaling pathway::I-kappaB kinase/NF-kappaB signaling	0.020833333333333332
Protein kinase C signaling pathway::protein kinase C signaling	0.0
cAMP and protein kinase A signaling pathway::protein kinase A signaling	0.0
Mammalian target of rapamycin signaling pathway::TOR signaling	0.2
SMAD signaling cascade::SMAD protein signal transduction	0.0
Peroxisome proliferator-activated receptor alpha signaling::peroxisome proliferator activated receptor signaling pathway	0.0
Peroxisome proliferator-activated receptor gamma signaling::peroxisome proliferator activated receptor signaling pathway	0.0
Thyroid hormone receptor signaling::thyroid hormone mediated signaling pathway	0.0
Calcitonin receptor signaling::calcitonin family receptor signaling pathway	0.0
Progesterone receptor signaling::progesterone receptor signaling pathway	0.0
Purinergic signaling::purinergic receptor signaling pathway	0.48
TNF superfamily signaling::tumor necrosis factor-mediated signaling pathway	0.1323529411764706
Somatostatin receptor signaling::somatostatin receptor signaling pathway	0.0
Nerve growth factor receptor signaling::nerve growth factor signaling pathway	0.08333333333333333
Roundabout signaling::Roundabout signaling pathway	0.0
Semaphorin signaling::semaphorin-plexin signaling pathway	0.3902439024390244
Thromboxane receptor signaling::thromboxane A2 signaling pathway	0.0
Bone morphogenetic protein receptor signaling::BMP signaling pathway	0.21794871794871795
Transforming growth factor beta receptor signaling::transforming growth factor beta receptor signaling pathway	0.06569343065693431
Activin receptor signaling::activin receptor signaling pathway	0.25
Toll-like receptor signaling::toll-like receptor signaling pathway	0.1349206349206349
Toll-like receptor 1 signaling::toll-like receptor 1 signaling pathway	0.0
Toll-like receptor 2 signaling::toll-like receptor 2 signaling pathway	0.0
Toll-like receptor 3 signaling::toll-like receptor 3 signaling pathway	0.0
Toll-like receptor 4 signaling::toll-like receptor 4 signaling pathway	0.0
Toll-like receptor 5 signaling::toll-like receptor 5 signaling pathway	0.0
Toll-like receptor 6 signaling::toll-like receptor 6 signaling pathway	0.0
Toll-like receptor 7 signaling::toll-like receptor 7 signaling pathway	0.0
Toll-like receptor 8 signaling::toll-like receptor 8 signaling pathway	0.0
Toll-like receptor 9 signaling::toll-like receptor 9 signaling pathway	0.0
Toll-like receptor 10 signaling::toll-like receptor 10 signaling pathway	0.0
Toll-like receptor 11 signaling::toll-like receptor 11 signaling pathway	0.0
Toll-like receptor 12 signaling::toll-like receptor 12 signaling pathway	0.0
Toll-like receptor 13 signaling::toll-like receptor 13 signaling pathway	0.0
