Process	Parent_process
Acetylcholine-mediated control of postsynaptic potential	Control of postsynaptic potential
Actin filament bundling and crosslinking	Actin filament dynamics
Actin filament capping	Actin filament dynamics
Actin filament nucleation and branching	Actin filament dynamics
Actin filament severing and depolymerization	Actin filament dynamics
Actin polymerization	Actin filament dynamics
Activin receptor signaling	TGF-beta superfamily signaling
Acute-phase response	Blood protein dynamics
Adenylyl cyclase signaling pathway	Intracellular common signaling cascades of multiple pathways
Adherens junction organization	Cell-cell junction organization
Adiponectin receptor signaling	Signaling pathways involved in glucose and lipid homeostasis
Adrenocorticotropic hormone receptor signaling	Signaling pathways regulating steroid and sex hormone synthesis
Aggrecan synthesis	Proteoglycan synthesis
Albumin mediated blood protein transport	Blood protein dynamics
Alpha 1 adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Alpha 2 adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Alternative complement pathway	Complement pathway and regulation
Alternative end joining DSB repair	DNA double-strand break repair
Amination of alpha-keto acids and deamination of amino acids	Ammonium metabolism
Amyloid plaque organization	Amyloid generation and aggregation
Amyloid precursor protein cleavage	Amyloid generation and aggregation
Anchoring of nuclear membrane to cytoskeleton	Interphase nucleus and nuclear chromatin organization
Androgen receptor signaling	Steroid and sex hormone signaling
Androgen synthesis	Steroid hormone synthesis
Angiotensin receptor signaling	Signaling pathways regulating cardiovascular homeostasis
Anterograde vesicle traffic from ER to Golgi	Vesicle traffic between ER and TGN
Antidiuretic hormone receptor signaling	Signaling pathways regulating water homeostasis
Antigen presentation via MHC class I molecules	Antigen presentation
Antigen presentation via MHC class II molecules	Antigen presentation
Apoptosis caspase pathway	Apoptosis
Apoptosome assembly	Apoptosis
Apoptotic DNA degradation and nuclear disassembly	Apoptosis
Aspartate and arginine metabolism	Metabolism of non-essential amino acids
Axonal intermediate filament dynamics	Cytoplasmic intermediate filament and septin dynamics
B cell receptor signaling	Immune receptor Signaling
Base excision repair	DNA single-strand break repair
Basement membrane assembly and organization	Basement membrane dynamics
Basement membrane attachment to cell surface	Basement membrane dynamics
Beta adrenergic receptor signaling	Signaling pathways regulating cardiovascular homeostasis
