MBCO	GO
PI3 kinase AKT signaling pathway	protein kinase B signaling
JAK-STAT signaling pathway	JAK-STAT cascade
TIRAP signaling pathway	TIRAP-dependent toll-like receptor signaling pathway
NFkB signaling pathway	I-kappaB kinase/NF-kappaB signaling
Protein kinase C signaling pathway	protein kinase C signaling
cAMP and protein kinase A signaling pathway	protein kinase A signaling
Mammalian target of rapamycin signaling pathway	TOR signaling
SMAD signaling cascade	SMAD protein signal transduction
Peroxisome proliferator-activated receptor alpha signaling	peroxisome proliferator activated receptor signaling pathway
Peroxisome proliferator-activated receptor gamma signaling	peroxisome proliferator activated receptor signaling pathway
Thyroid hormone receptor signaling	thyroid hormone mediated signaling pathway
Calcitonin receptor signaling	calcitonin family receptor signaling pathway
Progesterone receptor signaling	progesterone receptor signaling pathway
Purinergic signaling	purinergic receptor signaling pathway
TNF superfamily signaling	tumor necrosis factor-mediated signaling pathway
Somatostatin receptor signaling	somatostatin receptor signaling pathway
Nerve growth factor receptor signaling	nerve growth factor signaling pathway
Roundabout signaling	Roundabout signaling pathway
Semaphorin signaling	semaphorin-plexin signaling pathway
Thromboxane receptor signaling	thromboxane A2 signaling pathway
Bone morphogenetic protein receptor signaling	BMP signaling pathway
Transforming growth factor beta receptor signaling	transforming growth factor beta receptor signaling pathway
Activin receptor signaling	activin receptor signaling pathway
Toll-like receptor signaling	toll-like receptor signaling pathway
Toll-like receptor 1 signaling	toll-like receptor 1 signaling pathway
Toll-like receptor 2 signaling	toll-like receptor 2 signaling pathway
Toll-like receptor 3 signaling	toll-like receptor 3 signaling pathway
Toll-like receptor 4 signaling	toll-like receptor 4 signaling pathway
Toll-like receptor 5 signaling	toll-like receptor 5 signaling pathway
Toll-like receptor 6 signaling	toll-like receptor 6 signaling pathway
Toll-like receptor 7 signaling	toll-like receptor 7 signaling pathway
Toll-like receptor 8 signaling	toll-like receptor 8 signaling pathway
Toll-like receptor 9 signaling	toll-like receptor 9 signaling pathway
Toll-like receptor 10 signaling	toll-like receptor 10 signaling pathway
Toll-like receptor 11 signaling	toll-like receptor 11 signaling pathway
Toll-like receptor 12 signaling	toll-like receptor 12 signaling pathway
Toll-like receptor 13 signaling	toll-like receptor 13 signaling pathway
Toll-like receptor 21 signaling	toll-like receptor 21 signaling pathway
Oncostatin-M receptor signaling	oncostatin-M-mediated signaling pathway
Thrombopoietin receptor signaling	thrombopoietin-mediated signaling pathway
Vascular endothelial growth factor receptor signaling	vascular endothelial growth factor receptor signaling pathway
WNT-Beta-catenin signaling pathway	Wnt signaling pathway
Notch receptor signaling	Notch signaling pathway
Interferon signaling	type I interferon signaling pathway
Interleukin 1 receptor signaling	interleukin-1-mediated signaling pathway
Interleukin 2 receptor signaling	interleukin-2-mediated signaling pathway
Interleukin 3 receptor signaling	interleukin-3-mediated signaling pathway
Interleukin 4 receptor signaling	interleukin-4-mediated signaling pathway
Interleukin 5 receptor signaling	interleukin-5-mediated signaling pathway
Interleukin 6 receptor signaling	interleukin-6-mediated signaling pathway
Interleukin 7 receptor signaling	interleukin-7-mediated signaling pathway
Interleukin 8 receptor signaling	interleukin-8-mediated signaling pathway
Interleukin 9 receptor signaling	interleukin-9-mediated signaling pathway
Interleukin 11 receptor signaling	interleukin-11-mediated signaling pathway
Interleukin 12 receptor signaling	interleukin-12-mediated signaling pathway
Interleukin 13 receptor signaling	interleukin-13-mediated signaling pathway
Interleukin 15 receptor signaling	interleukin-15-mediated signaling pathway
Interleukin 17 receptor signaling	interleukin-17-mediated signaling pathway
Interleukin 18 receptor signaling	interleukin-18-mediated signaling pathway
Interleukin 21 receptor signaling	interleukin-21-mediated signaling pathway
Interleukin 23 receptor signaling	interleukin-23-mediated signaling pathway
Interleukin 27 receptor signaling	interleukin-27-mediated signaling pathway
Interleukin 32 receptor signaling	interleukin-32-mediated signaling pathway
Interleukin 33 receptor signaling	interleukin-33-mediated signaling pathway
Interleukin 35 receptor signaling	interleukin-35-mediated signaling pathway
T cell receptor signaling	T cell receptor signaling pathway
Serotonin-mediated control of postsynaptic potential	serotonin receptor signaling pathway
Cardiomyocyte action potential generation and propagation	cardiac muscle cell action potential
Cardiomyocyte depolarization during action potential	membrane depolarization during cardiac muscle cell action potential
Cardiomyocyte repolarization during action potential and hyperpolarization	membrane repolarization during cardiac muscle cell action potential
Cardiomyocyte pacemaker current generation	SA node cell action potential
Structural golgi apparatus organization	Golgi organization
Mitochondrial fusion	mitochondrial fusion
Mitochondrial fission	mitochondrial fission
Mitochondrial transport	mitochondrion transport along microtubule;axon transport of mitochondrion;mitochondrion migration along actin filament
Mitochondrial cristae dynamics	cristae formation
Peroxisomal transport	peroxisome transport along microtubule
Cell cycle and cell division	cell cycle
Mitotic cell cycle checkpoints	cell cycle checkpoint
Restriction point	mitotic G1/S transition checkpoint
G2 M transition checkpoint	mitotic G2/M transition checkpoint
Metaphase to anaphase checkpoint	mitotic spindle checkpoint
Cell cycle arrest in response to DNA damage	mitotic DNA damage checkpoint
Mitotic spindle assembly	mitotic spindle assembly;mitotic spindle elongation;mitotic spindle stabilization
Mitotic spindle disassembly	mitotic spindle disassembly;mitotic spindle microtubule depolymerization
Eukaryotic kinetochore dynamics	attachment of mitotic spindle microtubules to kinetochore
Sister chromatid cohesion	mitotic sister chromatid cohesion
Sister chromatid segregation	mitotic sister chromatid segregation
Centrosome cycle	centriole assembly;centrosome duplication;centrosome cycle
Centrosome duplication	centriole replication
