MBC_id	Process	Level	Querry	Parent_mbc_id	Parent_process	Search_finished
MBC:0000001	Molecular Biology of the Cell	0	Molecular Biology of the Cell	E_m_p_t_y	E_m_p_t_y	False
MBC:0000002	Amino acid metabolism	1	"((""Amino acid metabolism"") OR (""Amino acids metabolism"")) AND (enzyme) AND ((human) OR (animal) OR (mammal) OR (muscle) OR (liver) OR (kidney))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000003	Cell cycle and cell division	1	"(""cell cycle"") OR (""Cell division"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000004	Cell differentiation markers	1	"Cell AND ""differentiation markers"" AND (humans OR mice OR mammals)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000005	Cell junction dynamics	1	"(""Cell junction"") OR (""Cell junctions"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000006	Cellular circadian clock dynamics	1	"Regulation AND ""cellular circadian clock"" AND (human OR mammals OR mice)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000007	Cellular communication	1	"(""cellular communication"") OR (""signaling pathways"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000008	Cellular contraction	1	"(""Cellular contraction"") OR (""Cell contraction"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000009	Cellular detoxification	1	"(cell) AND (""detoxification"") AND (enzyme) AND ((human) OR (mammal) OR (animal))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000010	Cellular protrusion organization	1	(Cellular) AND (protrusion)	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000011	Cellular redox homeostasis	1	(Cellular) AND (redox) AND (homeostasis)	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000012	Cellular response to stress	1	"(Cellular) AND ((""stress response"") OR (""response to stress""))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000013	Chromatin and histone dynamics	1	"(""Chromatin remodeling"") OR (""nucleosome"") OR ((Histone) AND (modification))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000014	Circadian clock mediated cellular regulation	1	"clock AND ""cellular"" AND ""regulation"" AND (humans and mice and mammals)"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000015	Coagulation cascade, complement system and blood protein dynamics	1	"(Coagulation cascade) OR (complement system) OR (""Acute-phase response proteins"") OR (""Acute-phase response protein"") OR ((""Albumin"") AND (""protein transport"")) OR (""Plasma Immunoglobulins"")"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000016	Cytoskeleton dynamics	1	Cytoskeleton dynamics	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000017	DNA replication, recombination and repair	1	DNA replication, recombination and repair	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000018	Energy generation and metabolism of cellular monomers	1	"(Mammalian) AND (cellular) AND ((energy generation) OR ((Metabolism) AND ((glucose) OR (""amino acid"") OR (""amino acids"") OR (""fatty acid"") OR (""fatty acids"") OR (purine) OR (pyrimidine))))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000019	Extracellular matrix homeostasis	1	"(""Extracellular matrix"") AND ((homeostasis) OR (dynamics) OR (""turn-over""))"	MBC:0000001	Molecular Biology of the Cell	True
MBC:0000020	Gene expression	1	Gene expression	MBC:0000001	Molecular Biology of the Cell	True
